source,用途,負荷区分,負荷根拠,出力(kW),電圧(V),推奨INV(kW),計算基準INV(kW),入力kVA(概算),疑義フラグ,設計根拠
out/5/fe_list_heavy.csv,"品ACCESSORY以記属付20SH.SH,SH,SH.SH.SH.SH,SH.SH.SH.SH.SH.",標準,用途が不明確で重負荷を示す特徴がなく、出力も比較的小さいため,8.0,400,11.0,9.2,10.458,Y,"品ACCESSORY以記属付20SH.SH,SH,SH.SH.SH.SH,SH.SH.SH.SH.SH.：8.0kW, 400V → 入力kW=8.0/0.90=8.89 → kVA=10.46（PF=0.85）; 余裕×1.15で INV 基準=9.20→丸め 11kW; 負荷区分=標準 ; 入力kVA(概算)=10.46"
out/5/fe_list_heavy.csv,転回向方 ROTATION スラク熱 スラク後 RESIS-CLASS,標準,転回向方という用途は特に重負荷を示唆せず、出力も比較的小さいため,17.0,400,22.0,19.55,22.222,,"転回向方 ROTATION スラク熱 スラク後 RESIS-CLASS：17.0kW, 400V → 入力kW=17.0/0.90=18.89 → kVA=22.22（PF=0.85）; 余裕×1.15で INV 基準=19.55→丸め 22kW; 負荷区分=標準 ; 入力kVA(概算)=22.22"
out/5/fe_list_heavy.csv,CONTROLMETHODTSIL方御製方動起VECVEGVECVECVECVECVECVECVECWsWGROの用類,標準,用途が一般的な制御方法に関連し、出力も小さいため,1.0,400,1.5,1.15,1.307,Y,"CONTROLMETHODTSIL方御製方動起VECVEGVECVECVECVECVECVECVECWsWGROの用類：1.0kW, 400V → 入力kW=1.0/0.90=1.11 → kVA=1.31（PF=0.85）; 余裕×1.15で INV 基準=1.15→丸め 1.5kW; 負荷区分=標準 ; 入力kVA(概算)=1.31"
out/5/fe_list_heavy.csv,電VOLT8W,標準,用途が一般的な電動機を示唆し、出力と回転数も標準的な範囲内であるため,4.0,400,5.5,4.6,5.229,,"電VOLT8W：4.0kW, 400V → 入力kW=4.0/0.90=4.44 → kVA=5.23（PF=0.85）; 余裕×1.15で INV 基準=4.60→丸め 5.5kW; 負荷区分=標準 ; 入力kVA(概算)=5.23"
out/5/fe_list_heavy.csv,ト1形護方却ENCLOSURECOOLING6IP44IC416IP441C416IP44IC416,標準,用途が冷却装置であり、出力も小さいため、重負荷とは判断できない,1.0,400,1.5,1.15,1.307,Y,"ト1形護方却ENCLOSURECOOLING6IP44IC416IP441C416IP44IC416：1.0kW, 400V → 入力kW=1.0/0.90=1.11 → kVA=1.31（PF=0.85）; 余裕×1.15で INV 基準=1.15→丸め 1.5kW; 負荷区分=標準 ; 入力kVA(概算)=1.31"
out/5/fe_list_heavy.csv,レイク,重負荷,レイクは製鉄所で使用される重機であり、高トルクが必要なため,2.0,400,3.7,2.5,2.614,,"レイク：2.0kW, 400V → 入力kW=2.0/0.90=2.22 → kVA=2.61（PF=0.85）; 余裕×1.25で INV 基準=2.50→丸め 3.7kW; 負荷区分=重負荷 ; 入力kVA(概算)=2.61"
out/5/fe_list_heavy.csv,No.1スタンドIpa4600Max,重負荷,スタンドという用語が圧延設備を示唆し、通常高トルクが必要なため,1.0,400,1.5,1.25,1.307,,"No.1スタンドIpa4600Max：1.0kW, 400V → 入力kW=1.0/0.90=1.11 → kVA=1.31（PF=0.85）; 余裕×1.25で INV 基準=1.25→丸め 1.5kW; 負荷区分=重負荷 ; 入力kVA(概算)=1.31"
out/5/fe_list_heavy.csv,No.2スタンド160050/1200,重負荷,スタンドという用語が圧延設備を示唆し、低速で大出力が要求される可能性が高いため,2.0,400,3.7,2.5,2.614,Y,"No.2スタンド160050/1200：2.0kW, 400V → 入力kW=2.0/0.90=2.22 → kVA=2.61（PF=0.85）; 余裕×1.25で INV 基準=2.50→丸め 3.7kW; 負荷区分=重負荷 ; 入力kVA(概算)=2.61"
out/5/fe_list_heavy.csv,No.4スタンド1600Max 25n/1200 VECF/FDA.RT.SH.TS,重負荷,圧延機のスタンド用途であり、低速で大きな力が必要なため,4.0,400,5.5,5.0,5.229,,"No.4スタンド1600Max 25n/1200 VECF/FDA.RT.SH.TS：4.0kW, 400V → 入力kW=4.0/0.90=4.44 → kVA=5.23（PF=0.85）; 余裕×1.25で INV 基準=5.00→丸め 5.5kW; 負荷区分=重負荷 ; 入力kVA(概算)=5.23"
out/5/fe_list_heavy.csv,No.5スタンドIM800Max go/1soo n/p 半凌VECF/FDIB.RT.SH.TS,重負荷,スタンドという用語が圧延機を示唆し、高トルクが必要な用途と推測されるため,5.0,400,7.5,6.25,6.536,,"No.5スタンドIM800Max go/1soo n/p 半凌VECF/FDIB.RT.SH.TS：5.0kW, 400V → 入力kW=5.0/0.90=5.56 → kVA=6.54（PF=0.85）; 余裕×1.25で INV 基準=6.25→丸め 7.5kW; 負荷区分=重負荷 ; 入力kVA(概算)=6.54"
out/5/fe_list_heavy.csv,No.6スタンドIM1IpaaB00Max1750/1500,重負荷,スタンドという用語が圧延機を示唆し、高トルクが必要な用途と推測されるため,6.0,400,7.5,7.5,7.843,,"No.6スタンドIM1IpaaB00Max1750/1500：6.0kW, 400V → 入力kW=6.0/0.90=6.67 → kVA=7.84（PF=0.85）; 余裕×1.25で INV 基準=7.50→丸め 7.5kW; 負荷区分=重負荷 ; 入力kVA(概算)=7.84"
out/5/fe_list_heavy.csv,No.7スタンド800750/1500(1/8.4)VEC1F/FDMI,重負荷,スタンドという用語が圧延設備を示唆し、低速・大出力の特性を持つ可能性が高いため,7.0,400,11.0,8.75,9.15,Y,"No.7スタンド800750/1500(1/8.4)VEC1F/FDMI：7.0kW, 400V → 入力kW=7.0/0.90=7.78 → kVA=9.15（PF=0.85）; 余裕×1.25で INV 基準=8.75→丸め 11kW; 負荷区分=重負荷 ; 入力kVA(概算)=9.15"
out/5/fe_list_heavy.csv,No.8スタンドa800750/1500luz5,重負荷,スタンドという用語が圧延設備を示唆し、高トルクが必要な用途と推測されるため,8.0,400,11.0,10.0,10.458,Y,"No.8スタンドa800750/1500luz5：8.0kW, 400V → 入力kW=8.0/0.90=8.89 → kVA=10.46（PF=0.85）; 余裕×1.25で INV 基準=10.00→丸め 11kW; 負荷区分=重負荷 ; 入力kVA(概算)=10.46"
out/5/fe_list_heavy.csv,No.9スタンドa800750/1500asp=VEGF/FD1SUSSE,重負荷,用途名にスタンドという単語が含まれており、圧延機の一部である可能性が高いため。圧延機は典型的な重負荷用途である。,9.0,400,15.0,11.25,11.765,Y,"No.9スタンドa800750/1500asp=VEGF/FD1SUSSE：9.0kW, 400V → 入力kW=9.0/0.90=10.00 → kVA=11.76（PF=0.85）; 余裕×1.25で INV 基準=11.25→丸め 15kW; 負荷区分=重負荷 ; 入力kVA(概算)=11.76"
out/5/fe_list_heavy.csv,No.10スタンドa80075/15004のPEVEC1F/FD1AUSRSDSIB,重負荷,スタンドという用語が圧延機を示唆し、製鉄所の重負荷用途と考えられるため,10.0,400,15.0,12.5,13.072,Y,"No.10スタンドa80075/15004のPEVEC1F/FD1AUSRSDSIB：10.0kW, 400V → 入力kW=10.0/0.90=11.11 → kVA=13.07（PF=0.85）; 余裕×1.25で INV 基準=12.50→丸め 15kW; 負荷区分=重負荷 ; 入力kVA(概算)=13.07"
out/5/fe_list_heavy.csv,No.11スタンドoyB00750/1500(1/4)mu=VEC1E/ED1BRT、SH、TS,重負荷,スタンドという用語が圧延機を示唆し、圧延は高トルクを要する重負荷用途のため,11.0,400,15.0,13.75,14.379,Y,"No.11スタンドoyB00750/1500(1/4)mu=VEC1E/ED1BRT、SH、TS：11.0kW, 400V → 入力kW=11.0/0.90=12.22 → kVA=14.38（PF=0.85）; 余裕×1.25で INV 基準=13.75→丸め 15kW; 負荷区分=重負荷 ; 入力kVA(概算)=14.38"
out/5/fe_list_heavy.csv,No.12スタンドB00Max,標準,用途が一般的な工業用途と思われ、出力と回転数も標準的な値のため,12.0,400,15.0,13.8,15.686,,"No.12スタンドB00Max：12.0kW, 400V → 入力kW=12.0/0.90=13.33 → kVA=15.69（PF=0.85）; 余裕×1.15で INV 基準=13.80→丸め 15kW; 負荷区分=標準 ; 入力kVA(概算)=15.69"
out/7/fe_list_heavy.csv,電容,標準,電容用途は一般的に定常負荷で、特に高トルクや頻繁な始動停止を必要としないため,58.0,400,75.0,66.7,75.817,,"電容：58.0kW, 400V → 入力kW=58.0/0.90=64.44 → kVA=75.82（PF=0.85）; 余裕×1.15で INV 基準=66.70→丸め 75kW; 負荷区分=標準 ; 入力kVA(概算)=75.82"
out/7/fe_list_heavy.csv,類,標準,用途が一般的な「類」であり、出力と回転数も標準的な範囲内のため,6.0,400,7.5,6.9,7.843,,"類：6.0kW, 400V → 入力kW=6.0/0.90=6.67 → kVA=7.84（PF=0.85）; 余裕×1.15で INV 基準=6.90→丸め 7.5kW; 負荷区分=標準 ; 入力kVA(概算)=7.84"
out/7/fe_list_heavy.csv,le2x Tool,標準,用途が一般的な工具と思われ、出力も小さく、特に重負荷を示す特徴がないため,1.26,400,1.5,1.449,1.647,,"le2x Tool：1.26kW, 400V → 入力kW=1.26/0.90=1.40 → kVA=1.65（PF=0.85）; 余裕×1.15で INV 基準=1.45→丸め 1.5kW; 負荷区分=標準 ; 入力kVA(概算)=1.65"
out/7/fe_list_heavy.csv,Ne1exF e001sooavo sol1a10-7.00-.7 06 Tova 609 500 co To0011500,標準,用途が不明確で重負荷を示す特徴がなく、出力も小さいため,1.0,400,1.5,1.15,1.307,,"Ne1exF e001sooavo sol1a10-7.00-.7 06 Tova 609 500 co To0011500：1.0kW, 400V → 入力kW=1.0/0.90=1.11 → kVA=1.31（PF=0.85）; 余裕×1.15で INV 基準=1.15→丸め 1.5kW; 負荷区分=標準 ; 入力kVA(概算)=1.31"
out/7/fe_list_heavy.csv,egmyysmlizsgli25oolrrSarovalLeSSw,標準,用途が不明確で、出力と回転数から特に重負荷を示す特徴が見られないため,99.0,400,132.0,113.85,129.412,,"egmyysmlizsgli25oolrrSarovalLeSSw：99.0kW, 400V → 入力kW=99.0/0.90=110.00 → kVA=129.41（PF=0.85）; 余裕×1.15で INV 基準=113.85→丸め 132kW; 負荷区分=標準 ; 入力kVA(概算)=129.41"
