row,用途,推奨INV(kW),電圧(V),vendor,model,why
1,"品 ACCESSORY 以記属付 20SH.SH, SH, SH.SH.SH.SH, SH.SH.SH.SH.SH.",11.0,400.0,Fuji Electric,FRENIC-Std 11kW 400V,要求仕様と完全に一致(kW、電圧、周波数)。汎用性があり、IP20で一般的な保護等級を満たす。
1,"品 ACCESSORY 以記属付 20SH.SH, SH, SH.SH.SH.SH, SH.SH.SH.SH.SH.",11.0,400.0,Fuji Electric,FRENIC-Std 15kW 400V,要求kWを上回り、余裕がある。他の仕様(電圧、周波数)は一致。汎用性があり、IP20で一般的な保護等級を満たす。
1,"品 ACCESSORY 以記属付 20SH.SH, SH, SH.SH.SH.SH, SH.SH.SH.SH.SH.",11.0,400.0,Fuji Electric,FRENIC-Std 18.5kW 400V,要求kWを大きく上回り、将来の拡張性がある。他の仕様(電圧、周波数)は一致。汎用性があり、IP20で一般的な保護等級を満たす。
2,転回向方 ROTATION スラク熱 スラク後 RESIS-CLASS,22.0,400.0,Fuji Electric,FRENIC-Std 22kW 400V,"要求仕様と完全に一致(kW, 電圧, 周波数)。汎用性があり、用途に適合"
2,転回向方 ROTATION スラク熱 スラク後 RESIS-CLASS,22.0,400.0,Fuji Electric,FRENIC-Std 30kW 400V,要求kWを上回り、他の仕様が一致。余裕を持った選択肢
2,転回向方 ROTATION スラク熱 スラク後 RESIS-CLASS,22.0,400.0,Fuji Electric,FRENIC-Std 37kW 400V,さらに高いkWで、将来の拡張性を考慮。他の仕様は一致
3,式 1 ) 式 CONTROLMETHODTSIL 方御製方動起 VECVEGVECVECVEC 요 VECVECVECVECWsWGRO の用類,1.5,400.0,Fuji Electric,FRENIC-Std 1.5kW 400V,要求仕様と完全に一致（kW、電圧、周波数）。汎用インバータで適合。
3,式 1 ) 式 CONTROLMETHODTSIL 方御製方動起 VECVEGVECVECVEC 요 VECVECVECVECWsWGRO の用類,1.5,400.0,Fuji Electric,FRENIC-Std 2.2kW 400V,要求kW以上で最も近い。電圧、周波数一致。汎用インバータで適合。
3,式 1 ) 式 CONTROLMETHODTSIL 方御製方動起 VECVEGVECVECVEC 요 VECVECVECVECWsWGRO の用類,1.5,400.0,Fuji Electric,FRENIC-Std 3.7kW 400V,要求kW以上。電圧、周波数一致。汎用インバータで適合。余裕あり。
4,電VOLT8W,5.5,400.0,Fuji Electric,FRENIC-Std 5.5kW 400V,要求仕様と完全に一致（kW、電圧、周波数）
4,電VOLT8W,5.5,400.0,Fuji Electric,FRENIC-Std 7.5kW 400V,要求kWを上回り、他の仕様が一致
4,電VOLT8W,5.5,400.0,Fuji Electric,FRENIC-Std 11kW 400V,要求kWを大きく上回り、将来の拡張性に対応可能
5,ト1形護方却ENCLOSURECOOLING6IP44IC416IP441C416IP44IC416,1.5,400.0,Fuji Electric,FRENIC-Std 1.5kW 400V,必要kWに完全一致、電圧・周波数も一致
